,Congresista,Región,Bancada,Grupo,Votacion
0,Acuña Peralta María Grimaneza,Lambayeque,ALIANZA PARA EL PROGRESO,Alianza para el Progreso,"11,384"
1,Acuña Peralta Segundo Héctor,La libertad,HONOR Y DEMOCRACIA,Alianza para el Progreso,"19,729"
2,Agüero Gutiérrez María Antonieta,Arequipa,PERÚ LIBRE,Partido Politico Nacional Perú Libre,"29,293"
3,Aguinaga Recuenco Alejandro Aurelio,Lambayeque,FUERZA POPULAR,Fuerza Popular,"10,715"
4,Alcarraz Aguero Yorel Kira,LIMA,PODEMOS PERÚ,Partido Democrático Somos Perú,"28,404"
5,Alegría García Arturo,San martin,FUERZA POPULAR,Fuerza Popular,"2,443"
6,Alva Prieto María del Carmen,LIMA,NO AGRUPADO,Acción Popular,"25,219"
7,Alva Rojas Carlos Enrique,La libertad,ACCIÓN POPULAR,Acción Popular,"8,061"
8,Amuruz Dulanto Yessica Rosselli,LIMA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,Avanza País - Partido de Integración Social,"21,855"
9,Anderson Ramírez Carlos Antonio,LIMA,NO AGRUPADO,Podemos Perú,"14,052"
10,Aragón Carreño Luis Ángel,Cusco,ACCIÓN POPULAR,Acción Popular,"12,291"
11,Arriola Tueros José Alberto,LIMA,PODEMOS PERÚ,Acción Popular,"34,982"
12,Azurín Loayza Alfredo,LIMA,SOMOS PERÚ,Partido Democrático Somos Perú,"23,624"
13,Balcázar Zelada José María,Lambayeque,PERÚ LIBRE,Partido Politico Nacional Perú Libre,"6,641"
14,Barbarán Reyes Rosangella Andrea,LIMA,FUERZA POPULAR,Fuerza Popular,"22,572"
15,Bazán Calderón Diego Alonso Fernando,La libertad,RENOVACIÓN POPULAR,Renovación Popular,"22,200"
16,Bazán Narro Sigrid Tesoro,LIMA,BLOQUE DEMOCRÁTICO POPULAR,Juntos por el Perú,"44,359"
17,Bellido Ugarte Guido,Cusco,PODEMOS PERÚ,Partido Politico Nacional Perú Libre,"20,164"
18,Bermejo Rojas Guillermo,LIMA,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Partido Politico Nacional Perú Libre,"8,254"
19,Burgos Oliveros Juan Bartolomé,La libertad,PODEMOS PERÚ,Avanza País - Partido de Integración Social,"10,060"
20,Bustamante Donayre Ernesto,LIMA,FUERZA POPULAR,Fuerza Popular,"24,075"
21,Calle Lobatón Digna,LIMA,PODEMOS PERÚ,Podemos Perú,"54,282"
22,Camones Soriano Lady Mercedes,Ancash,ALIANZA PARA EL PROGRESO,Alianza para el Progreso del Perú,"6,203"
23,Castillo Rivas Eduardo Enrique,Piura,FUERZA POPULAR,Fuerza Popular,"10,901"
24,Cavero Alva Alejandro Enrique,LIMA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,Avanza País - Partido de Integración Social,"30,242"
25,Cerrón Rojas Waldemar José,Junin,PERÚ LIBRE,Partido Politico Nacional Perú Libre,"25,281"
26,Chacón Trujillo Nilza Merly,Ancash,FUERZA POPULAR,Fuerza Popular,"3,950"
27,Chávez Chino Betssy Betzabet,Tacna,NO AGRUPADO,Partido Politico Nacional Perú Libre,"8,472"
28,Chiabra León Roberto Enrique,LIMA,ALIANZA PARA EL PROGRESO,Alianza para el Progreso,"19,222"
29,Chirinos Venegas Patricia Rosa,Callao,RENOVACIÓN POPULAR,Avanza País - Partido de Integración Social,"9,033"
