,Rice,Pairwise_cohesion
Fuerza Popular,0.9790176334571273,0.9668209078212668
Juntos por el Perú,0.9474568080222303,0.9190909090909091
Renovación Popular,0.9114643321632568,0.8947975302276376
Avanza País - Partido de Integración Social,0.9404349915885604,0.8925419279064546
Alianza para el Progreso,0.9158776634548351,0.8915911289029569
Somos Perú,0.9059592326139089,0.88972503617945
Acción Popular,0.886029225636471,0.8825386869204074
Podemos Perú,0.899915058852081,0.8484221691858923
Partido Politico Nacional Perú Libre,0.8366516633027966,0.8356560679728863
Partido Morado,0.9015799015799016,0.7720111214087118
